nm_mun;ano;pop_total;pop_mulher;pop_mulher_per;pop_homem;pop_homem_per;cres_pop;cor_raca_pri;porte
Itaju do Colônia (BA);2022;6.037;3.048;50,49%;2.989;49,51%;-17,4%;parda;baixo
Itajuípe (BA);2022;18.781;9.623;51,24%;9.158;48,76%;-10,9%;parda;baixo
Itamaraju (BA);2022;59.605;30.235;50,73%;29.370;49,27%;-5,5%;parda;médio
Itamari (BA);2022;7.051;3.513;49,82%;3.538;50,18%;-10,8%;parda;baixo
Itambé (BA);2022;24.394;12.094;49,58%;12.300;50,42%;5,7%;parda;baixo
Itanagra (BA);2022;5.914;3.013;50,95%;2.901;49,05%;-22,2%;parda;baixo
Itanhém (BA);2022;17.813;8.831;49,58%;8.982;50,42%;-11,9%;parda;baixo
Itaparica (BA);2022;19.789;10.451;52,81%;9.338;47,19%;-4,5%;parda;baixo
Itapé (BA);2022;10.341;5.153;49,83%;5.188;50,17%;-5,9%;parda;baixo
Itapebi (BA);2022;9.174;4.536;49,44%;4.638;50,56%;-12,6%;parda;baixo
Itapetinga (BA);2022;65.897;34.229;51,94%;31.668;48,06%;-3,5%;parda;médio
Itapicuru (BA);2022;31.679;15.645;49,39%;16.034;50,61%;-1,8%;parda;baixo
Itapitanga (BA);2022;10.279;5.083;49,45%;5.196;50,55%;0,7%;parda;baixo
Itaquara (BA);2022;8.153;4.077;50,01%;4.076;49,99%;6,2%;parda;baixo
Itarantim (BA);2022;17.052;8.396;49,24%;8.656;50,76%;-8%;parda;baixo
Itatim (BA);2022;15.737;8.057;51,2%;7.680;48,8%;8,4%;parda;baixo
Itiruçu (BA);2022;10.999;5.686;51,7%;5.313;48,3%;-13,3%;parda;baixo
Itiúba (BA);2022;33.872;16.796;49,59%;17.076;50,41%;-6,2%;parda;baixo
Itororó (BA);2022;16.617;8.460;50,91%;8.157;49,09%;-16,6%;parda;baixo
Ituaçu (BA);2022;17.914;8.985;50,16%;8.929;49,84%;-1,2%;parda;baixo
Ituberá (BA);2022;21.902;11.306;51,62%;10.596;48,38%;-17,6%;parda;baixo
Iuiu (BA);2022;11.118;5.508;49,54%;5.610;50,46%;2%;parda;baixo
Jaborandi (BA);2022;9.275;4.508;48,6%;4.767;51,4%;3,4%;parda;baixo
Jacaraci (BA);2022;14.436;7.070;48,97%;7.366;51,03%;5,8%;parda;baixo
Jacobina (BA);2022;82.590;43.125;52,22%;39.465;47,78%;4,2%;parda;médio
Jaguaquara (BA);2022;45.964;23.775;51,73%;22.189;48,27%;-9,9%;parda;baixo
Jaguarari (BA);2022;32.703;16.295;49,83%;16.408;50,17%;7,8%;parda;baixo
Jaguaripe (BA);2022;17.659;8.840;50,06%;8.819;49,94%;7,2%;parda;baixo
Jandaíra (BA);2022;9.285;4.635;49,92%;4.650;50,08%;-10,1%;parda;baixo
Jequié (BA);2022;158.813;82.708;52,08%;76.105;47,92%;4,6%;parda;grande
Jeremoabo (BA);2022;37.626;19.009;50,52%;18.617;49,48%;-0,1%;parda;baixo
Jiquiriçá (BA);2022;13.629;6.823;50,06%;6.806;49,94%;-3,5%;parda;baixo
Jitaúna (BA);2022;14.355;7.084;49,35%;7.271;50,65%;1,7%;parda;baixo
João Dourado (BA);2022;24.854;12.401;49,9%;12.453;50,1%;10,2%;parda;baixo
Juazeiro (BA);2022;237.821;121.744;51,19%;116.077;48,81%;20,1%;parda;grande
Jucuruçu (BA);2022;9.655;4.568;47,31%;5.087;52,69%;-6,2%;parda;baixo
Jussara (BA);2022;16.354;7.964;48,7%;8.390;51,3%;8,7%;parda;baixo
Jussari (BA);2022;5.888;2.923;49,64%;2.965;50,36%;-9,1%;parda;baixo
Jussiape (BA);2022;7.379;3.766;51,04%;3.613;48,96%;-8,1%;parda;baixo
Lafaiete Coutinho (BA);2022;4.075;1.994;48,93%;2.081;51,07%;4,5%;parda;baixo
Lagoa Real (BA);2022;14.105;6.924;49,09%;7.181;50,91%;1,2%;parda;baixo
Laje (BA);2022;21.052;10.574;50,23%;10.478;49,77%;-5,2%;parda;baixo
Lajedão (BA);2022;3.845;1.953;50,79%;1.892;49,21%;3%;parda;baixo
Lajedinho (BA);2022;3.527;1.773;50,27%;1.754;49,73%;-10,4%;parda;baixo
Lajedo do Tabocal (BA);2022;7.494;3.748;50,01%;3.746;49,99%;-9,8%;parda;baixo
Lamarão (BA);2022;9.015;4.632;51,38%;4.383;48,62%;-5,7%;parda;baixo
Lapão (BA);2022;25.736;12.907;50,15%;12.829;49,85%;0,4%;parda;baixo
Lauro de Freitas (BA);2022;203.331;108.047;53,14%;95.284;46,86%;24,4%;parda;grande
Lençóis (BA);2022;10.774;5.465;50,72%;5.309;49,28%;3,9%;parda;baixo
Licínio de Almeida (BA);2022;11.834;5.855;49,48%;5.979;50,52%;-3,9%;parda;baixo
Livramento de Nossa Senhora (BA);2022;43.903;21.908;49,9%;21.995;50,1%;2,8%;parda;baixo
Luís Eduardo Magalhães (BA);2022;107.909;53.794;49,85%;54.115;50,15%;79,5%;parda;grande
Macajuba (BA);2022;10.454;5.348;51,16%;5.106;48,84%;-6,9%;parda;baixo
Macarani (BA);2022;21.599;11.072;51,26%;10.527;48,74%;26,4%;parda;baixo
Macaúbas (BA);2022;41.859;21.088;50,38%;20.771;49,62%;-11%;parda;baixo
Macururé (BA);2022;7.256;3.627;49,99%;3.629;50,01%;-10,1%;parda;baixo
Madre de Deus (BA);2022;18.504;9.818;53,06%;8.686;46,94%;6,5%;parda;baixo
Maetinga (BA);2022;6.973;3.440;49,33%;3.533;50,67%;-0,9%;parda;baixo
Maiquinique (BA);2022;8.731;4.359;49,93%;4.372;50,07%;-0,6%;parda;baixo
Mairi (BA);2022;17.674;8.904;50,38%;8.770;49,62%;-8,5%;parda;baixo
Malhada (BA);2022;15.398;7.558;49,08%;7.840;50,92%;-3,8%;parda;baixo
Malhada de Pedras (BA);2022;8.670;4.249;49,01%;4.421;50,99%;2,4%;parda;baixo
Manoel Vitorino (BA);2022;13.860;6.846;49,39%;7.014;50,61%;-3,7%;parda;baixo
Mansidão (BA);2022;13.919;6.758;48,55%;7.161;51,45%;10,5%;parda;baixo
Maracás (BA);2022;27.620;14.062;50,91%;13.558;49,09%;12,2%;parda;baixo
Maragogipe (BA);2022;35.859;18.350;51,17%;17.509;48,83%;-16,2%;parda;baixo
Maraú (BA);2022;24.527;12.013;48,98%;12.514;51,02%;28,4%;parda;baixo
Marcionílio Souza (BA);2022;9.267;4.642;50,09%;4.625;49,91%;-11,7%;parda;baixo
Mascote (BA);2022;13.544;6.730;49,69%;6.814;50,31%;-7,5%;parda;baixo
Mata de São João (BA);2022;42.566;22.224;52,21%;20.342;47,79%;5,9%;parda;baixo
Matina (BA);2022;10.330;5.144;49,8%;5.186;50,2%;-7,3%;parda;baixo
Medeiros Neto (BA);2022;22.194;11.002;49,57%;11.192;50,43%;2,9%;parda;baixo
Miguel Calmon (BA);2022;24.661;12.522;50,78%;12.139;49,22%;-6,9%;parda;baixo
Milagres (BA);2022;11.071;5.676;51,27%;5.395;48,73%;7,4%;parda;baixo
Mirangaba (BA);2022;15.734;7.877;50,06%;7.857;49,94%;-3,3%;parda;baixo
Mirante (BA);2022;10.187;4.927;48,37%;5.260;51,63%;-3%;parda;baixo
Monte Santo (BA);2022;47.780;23.576;49,34%;24.204;50,66%;-8,7%;parda;baixo
Morpará (BA);2022;7.996;3.901;48,79%;4.095;51,21%;-3,4%;parda;baixo
Morro do Chapéu (BA);2022;33.594;16.975;50,53%;16.619;49,47%;-4,5%;parda;baixo
Mortugaba (BA);2022;11.143;5.652;50,72%;5.491;49,28%;-10,7%;parda;baixo
Mucugê (BA);2022;12.137;6.142;50,61%;5.995;49,39%;15,1%;parda;baixo
Mucuri (BA);2022;37.977;19.172;50,48%;18.805;49,52%;5,4%;parda;baixo
Mulungu do Morro (BA);2022;13.152;6.597;50,16%;6.555;49,84%;7,4%;parda;baixo
Mundo Novo (BA);2022;17.305;8.778;50,73%;8.527;49,27%;-29,1%;parda;baixo
Muniz Ferreira (BA);2022;7.190;3.651;50,78%;3.539;49,22%;-1,7%;parda;baixo
Muquém do São Francisco (BA);2022;10.443;4.940;47,3%;5.503;52,7%;1,7%;parda;baixo
Muritiba (BA);2022;28.707;15.309;53,33%;13.398;46,67%;-0,7%;parda;baixo
Mutuípe (BA);2022;20.037;10.405;51,93%;9.632;48,07%;-6,6%;parda;baixo
Nazaré (BA);2022;27.060;14.031;51,85%;13.029;48,15%;-0,8%;parda;baixo
Nilo Peçanha (BA);2022;12.063;5.979;49,56%;6.084;50,44%;-3,7%;parda;baixo
Nordestina (BA);2022;18.523;9.225;49,8%;9.298;50,2%;49,7%;parda;baixo
Nova Canaã (BA);2022;13.715;6.811;49,66%;6.904;50,34%;-17,9%;parda;baixo
Nova Fátima (BA);2022;7.967;4.071;51,1%;3.896;48,9%;4,8%;parda;baixo
Nova Ibiá (BA);2022;6.501;3.144;48,36%;3.357;51,64%;-2,2%;parda;baixo
Nova Itarana (BA);2022;7.780;3.845;49,42%;3.935;50,58%;4,6%;parda;baixo
Nova Redenção (BA);2022;7.538;3.752;49,77%;3.786;50,23%;-6,2%;parda;baixo
Nova Soure (BA);2022;24.236;12.174;50,23%;12.062;49,77%;0,4%;parda;baixo
Nova Viçosa (BA);2022;39.509;20.114;50,91%;19.395;49,09%;2,5%;parda;baixo
Novo Horizonte (BA);2022;11.162;5.498;49,26%;5.664;50,74%;4,6%;parda;baixo
Novo Triunfo (BA);2022;10.660;5.389;50,55%;5.271;49,45%;-29,2%;parda;baixo
Olindina (BA);2022;22.633;11.614;51,31%;11.019;48,69%;-9,3%;parda;baixo
Oliveira dos Brejinhos (BA);2022;20.715;10.241;49,44%;10.474;50,56%;-5,1%;parda;baixo
Ouriçangas (BA);2022;7.716;3.997;51,8%;3.719;48,2%;-7%;preta;baixo
Ourolândia (BA);2022;19.243;9.537;49,56%;9.706;50,44%;17,2%;parda;baixo
Palmas de Monte Alto (BA);2022;20.078;9.927;49,44%;10.151;50,56%;-3,4%;parda;baixo
Palmeiras (BA);2022;10.339;5.234;50,62%;5.105;49,38%;22,9%;parda;baixo
Paramirim (BA);2022;20.351;10.233;50,28%;10.118;49,72%;-3,1%;parda;baixo
Paratinga (BA);2022;29.252;14.558;49,77%;14.694;50,23%;-0,9%;parda;baixo
Paripiranga (BA);2022;26.604;13.557;50,96%;13.047;49,04%;-4,2%;parda;baixo
Pau Brasil (BA);2022;9.370;4.626;49,37%;4.744;50,63%;-13,7%;parda;baixo
Paulo Afonso (BA);2022;112.870;59.179;52,43%;53.691;47,57%;4,1%;parda;grande
Pé de Serra (BA);2022;13.243;6.750;50,97%;6.493;49,03%;-3,7%;parda;baixo
Pedrão (BA);2022;6.235;3.228;51,77%;3.007;48,23%;-9,3%;preta;baixo
Pedro Alexandre (BA);2022;13.954;6.952;49,82%;7.002;50,18%;-17,9%;parda;baixo
Piatã (BA);2022;20.086;10.317;51,36%;9.769;48,64%;11,7%;parda;baixo
Pilão Arcado (BA);2022;35.357;17.329;49,01%;18.028;50,99%;7,6%;parda;baixo
Pindaí (BA);2022;14.731;7.260;49,28%;7.471;50,72%;-5,7%;parda;baixo
Pindobaçu (BA);2022;19.083;9.607;50,34%;9.476;49,66%;-5,2%;parda;baixo
Pintadas (BA);2022;10.325;5.170;50,07%;5.155;49,93%;-0,2%;parda;baixo
Piraí do Norte (BA);2022;10.974;5.349;48,74%;5.625;51,26%;12%;parda;baixo
Piripá (BA);2022;9.152;4.674;51,07%;4.478;48,93%;-28,4%;parda;baixo
Piritiba (BA);2022;17.566;8.920;50,78%;8.646;49,22%;-21,6%;parda;baixo
Planaltino (BA);2022;8.022;3.898;48,59%;4.124;51,41%;-9,1%;parda;baixo
Planalto (BA);2022;23.334;12.029;51,55%;11.305;48,45%;-4,7%;parda;baixo
Poções (BA);2022;48.293;24.747;51,24%;23.546;48,76%;8%;parda;baixo
Pojuca (BA);2022;32.136;17.094;53,19%;15.042;46,81%;-2,8%;parda;baixo
Ponto Novo (BA);2022;17.938;9.074;50,59%;8.864;49,41%;13,9%;parda;baixo
Porto Seguro (BA);2022;168.326;85.630;50,87%;82.696;49,13%;32,6%;parda;grande
Potiraguá (BA);2022;10.274;5.091;49,55%;5.183;50,45%;4,7%;parda;baixo
Prado (BA);2022;35.003;17.300;49,42%;17.703;50,58%;26,7%;parda;baixo
Presidente Dutra (BA);2022;15.130;7.544;49,86%;7.586;50,14%;10%;parda;baixo
Presidente Jânio Quadros (BA);2022;12.621;6.200;49,12%;6.421;50,88%;-7,6%;parda;baixo
Presidente Tancredo Neves (BA);2022;27.734;13.746;49,56%;13.988;50,44%;16,3%;parda;baixo
Queimadas (BA);2022;25.988;13.155;50,62%;12.833;49,38%;5,6%;parda;baixo
Quijingue (BA);2022;25.272;12.366;48,93%;12.906;51,07%;-7,2%;parda;baixo
Quixabeira (BA);2022;9.461;4.690;49,57%;4.771;50,43%;-1%;parda;baixo
Rafael Jambeiro (BA);2022;19.662;10.191;51,83%;9.471;48,17%;-14%;parda;baixo
Remanso (BA);2022;40.586;20.347;50,13%;20.239;49,87%;4,2%;parda;baixo
Retirolândia (BA);2022;13.651;6.965;51,02%;6.686;48,98%;13,2%;parda;baixo
Riachão das Neves (BA);2022;21.642;10.363;47,88%;11.279;52,12%;-1,3%;parda;baixo
Riachão do Jacuípe (BA);2022;33.386;17.206;51,54%;16.180;48,46%;0,6%;parda;baixo
Riacho de Santana (BA);2022;30.711;15.274;49,73%;15.437;50,27%;0,2%;parda;baixo
Ribeira do Amparo (BA);2022;13.841;6.816;49,24%;7.025;50,76%;-3%;parda;baixo
Ribeira do Pombal (BA);2022;54.010;27.640;51,18%;26.370;48,82%;13,7%;parda;médio
Ribeirão do Largo (BA);2022;9.740;4.614;47,37%;5.126;52,63%;13,2%;parda;baixo
Rio de Contas (BA);2022;13.184;6.717;50,95%;6.467;49,05%;1,4%;parda;baixo
Rio do Antônio (BA);2022;13.146;6.553;49,85%;6.593;50,15%;-11,3%;parda;baixo
Rio do Pires (BA);2022;10.497;5.340;50,87%;5.157;49,13%;-11,9%;parda;baixo
Rio Real (BA);2022;35.362;17.825;50,41%;17.537;49,59%;-4,8%;parda;baixo
Rodelas (BA);2022;10.308;5.228;50,72%;5.080;49,28%;32,6%;parda;baixo
Ruy Barbosa (BA);2022;28.282;14.763;52,2%;13.519;47,8%;-5,4%;parda;baixo
Salinas da Margarida (BA);2022;14.987;7.818;52,17%;7.169;47,83%;11,4%;parda;baixo
Salvador (BA);2022;2.417.678;1.315.298;54,4%;1.102.380;45,6%;-9,6%;parda;grande
Santa Bárbara (BA);2022;20.952;10.641;50,79%;10.311;49,21%;9,9%;parda;baixo
Santa Brígida (BA);2022;14.965;7.436;49,69%;7.529;50,31%;-0,6%;parda;baixo
Santa Cruz Cabrália (BA);2022;29.185;14.714;50,42%;14.471;49,58%;11,1%;parda;baixo
Santa Cruz da Vitória (BA);2022;4.681;2.344;50,07%;2.337;49,93%;-29,9%;parda;baixo
Santa Inês (BA);2022;10.300;5.204;50,52%;5.096;49,48%;-0,6%;parda;baixo
Santaluz (BA);2022;37.834;19.153;50,62%;18.681;49,38%;11,8%;parda;baixo
Santa Luzia (BA);2022;13.896;6.596;47,47%;7.300;52,53%;4,1%;parda;baixo
Santa Maria da Vitória (BA);2022;38.604;19.329;50,07%;19.275;49,93%;-4,2%;parda;baixo
Santana (BA);2022;24.755;12.172;49,17%;12.583;50,83%;0%;parda;baixo
Santanópolis (BA);2022;8.716;4.581;52,56%;4.135;47,44%;-0,7%;parda;baixo
Santa Rita de Cássia (BA);2022;27.390;13.385;48,87%;14.005;51,13%;4,3%;parda;baixo
Santa Terezinha (BA);2022;10.441;5.393;51,65%;5.048;48,35%;8,2%;parda;baixo
Santo Amaro (BA);2022;56.012;29.636;52,91%;26.376;47,09%;-3,1%;preta;médio
Santo Antônio de Jesus (BA);2022;103.055;54.970;53,34%;48.085;46,66%;13,3%;parda;grande
Santo Estêvão (BA);2022;52.276;27.482;52,57%;24.794;47,43%;9,2%;parda;médio
São Desidério (BA);2022;32.828;15.953;48,6%;16.875;51,4%;18,7%;parda;baixo
São Domingos (BA);2022;8.426;4.287;50,88%;4.139;49,12%;-8,7%;parda;baixo
São Félix (BA);2022;11.026;5.761;52,25%;5.265;47,75%;-21,8%;parda;baixo
São Félix do Coribe (BA);2022;15.194;7.610;50,09%;7.584;49,91%;16,4%;parda;baixo
São Felipe (BA);2022;20.283;10.384;51,2%;9.899;48,8%;-0,1%;parda;baixo
São Francisco do Conde (BA);2022;38.733;20.528;53%;18.205;47%;16,7%;preta;baixo
São Gabriel (BA);2022;18.600;9.153;49,21%;9.447;50,79%;0,9%;parda;baixo
São Gonçalo dos Campos (BA);2022;39.513;20.861;52,8%;18.652;47,2%;18,7%;preta;baixo
São José da Vitória (BA);2022;5.315;2.637;49,61%;2.678;50,39%;-7%;parda;baixo
São José do Jacuípe (BA);2022;10.187;5.147;50,53%;5.040;49,47%;0,1%;parda;baixo
São Miguel das Matas (BA);2022;10.334;5.169;50,02%;5.165;49,98%;-0,8%;parda;baixo
São Sebastião do Passé (BA);2022;40.958;21.565;52,65%;19.393;47,35%;-2,8%;parda;baixo
Sapeaçu (BA);2022;17.963;9.301;51,78%;8.662;48,22%;8,3%;parda;baixo
Sátiro Dias (BA);2022;16.008;8.087;50,52%;7.921;49,48%;-15,6%;parda;baixo
Saubara (BA);2022;11.438;6.012;52,56%;5.426;47,44%;2,1%;parda;baixo
Saúde (BA);2022;10.478;5.362;51,17%;5.116;48,83%;-11,5%;parda;baixo
Seabra (BA);2022;46.160;23.663;51,26%;22.497;48,74%;10,4%;parda;baixo
Sebastião Laranjeiras (BA);2022;9.360;4.632;49,49%;4.728;50,51%;-9,7%;parda;baixo
Senhor do Bonfim (BA);2022;74.523;38.901;52,2%;35.622;47,8%;0,1%;parda;médio
Serra do Ramalho (BA);2022;34.222;16.849;49,23%;17.373;50,77%;8,2%;parda;baixo
Sento Sé (BA);2022;38.154;18.475;48,42%;19.679;51,58%;1,9%;parda;baixo
Serra Dourada (BA);2022;17.066;8.318;48,74%;8.748;51,26%;-5,8%;parda;baixo
Serra Preta (BA);2022;17.996;9.303;51,69%;8.693;48,31%;16,8%;parda;baixo
Serrinha (BA);2022;80.435;41.964;52,17%;38.471;47,83%;4,8%;parda;médio
Serrolândia (BA);2022;13.335;6.827;51,2%;6.508;48,8%;8%;parda;baixo
Simões Filho (BA);2022;114.559;60.151;52,51%;54.408;47,49%;-3%;parda;grande
Sítio do Mato (BA);2022;13.408;6.519;48,62%;6.889;51,38%;11,3%;parda;baixo
Sítio do Quinto (BA);2022;14.773;7.278;49,27%;7.495;50,73%;17,3%;parda;baixo
Sobradinho (BA);2022;25.475;13.000;51,03%;12.475;48,97%;15,8%;parda;baixo
Souto Soares (BA);2022;17.054;8.543;50,09%;8.511;49,91%;7,3%;parda;baixo
Tabocas do Brejo Velho (BA);2022;11.979;5.804;48,45%;6.175;51,55%;4,8%;parda;baixo
Tanhaçu (BA);2022;21.006;10.470;49,84%;10.536;50,16%;5%;parda;baixo
Tanque Novo (BA);2022;17.158;8.609;50,17%;8.549;49,83%;6,4%;parda;baixo
Tanquinho (BA);2022;7.717;3.968;51,42%;3.749;48,58%;-3,6%;parda;baixo
Taperoá (BA);2022;18.044;9.051;50,16%;8.993;49,84%;-3,8%;parda;baixo
Tapiramutá (BA);2022;15.818;7.973;50,4%;7.845;49,6%;-4,2%;parda;baixo
Teixeira de Freitas (BA);2022;145.216;75.212;51,79%;70.004;48,21%;5%;parda;grande
Teodoro Sampaio (BA);2022;7.110;3.676;51,7%;3.434;48,3%;-9,9%;parda;baixo
Teofilândia (BA);2022;21.176;10.756;50,79%;10.420;49,21%;-1,4%;parda;baixo
Teolândia (BA);2022;15.332;7.451;48,6%;7.881;51,4%;3,3%;parda;baixo
Terra Nova (BA);2022;10.798;5.670;52,51%;5.128;47,49%;-15,7%;parda;baixo
Tremedal (BA);2022;16.296;8.083;49,6%;8.213;50,4%;-4,3%;parda;baixo
Tucano (BA);2022;48.736;24.586;50,45%;24.150;49,55%;-7%;parda;baixo
Uauá (BA);2022;24.665;12.218;49,54%;12.447;50,46%;1,5%;parda;baixo
Ubaíra (BA);2022;18.626;9.320;50,04%;9.306;49,96%;-5,7%;parda;baixo
Ubaitaba (BA);2022;17.596;9.135;51,92%;8.461;48,08%;-15%;parda;baixo
Ubatã (BA);2022;16.094;8.310;51,63%;7.784;48,37%;-35,6%;parda;baixo
Uibaí (BA);2022;13.432;6.642;49,45%;6.790;50,55%;-1,4%;parda;baixo
Umburanas (BA);2022;13.642;6.682;48,98%;6.960;51,02%;-19,8%;parda;baixo
Una (BA);2022;18.131;9.046;49,89%;9.085;50,11%;-24,8%;parda;baixo
Urandi (BA);2022;15.355;7.669;49,94%;7.686;50,06%;-6,7%;parda;baixo
Uruçuca (BA);2022;21.420;10.853;50,67%;10.567;49,33%;8%;parda;baixo
Utinga (BA);2022;16.277;8.209;50,43%;8.068;49,57%;-10,4%;parda;baixo
Valença (BA);2022;85.655;44.395;51,83%;41.260;48,17%;-3,4%;parda;médio
Valente (BA);2022;24.362;12.536;51,46%;11.826;48,54%;-0,8%;parda;baixo
Várzea da Roça (BA);2022;13.800;6.984;50,61%;6.816;49,39%;0,1%;parda;baixo
Várzea do Poço (BA);2022;8.101;4.117;50,82%;3.984;49,18%;-6,5%;parda;baixo
Várzea Nova (BA);2022;13.377;6.711;50,17%;6.666;49,83%;2,3%;parda;baixo
Varzedo (BA);2022;9.913;4.978;50,22%;4.935;49,78%;8,8%;parda;baixo
Vera Cruz (BA);2022;42.529;21.956;51,63%;20.573;48,37%;13,2%;parda;baixo
Vereda (BA);2022;6.003;2.883;48,03%;3.120;51,97%;-11,7%;parda;baixo
Vitória da Conquista (BA);2022;370.879;193.468;52,16%;177.411;47,84%;20,9%;parda;grande
Wagner (BA);2022;9.503;4.826;50,78%;4.677;49,22%;5,8%;parda;baixo
Wanderley (BA);2022;12.968;6.248;48,18%;6.720;51,82%;3,9%;parda;baixo
Wenceslau Guimarães (BA);2022;24.474;12.065;49,3%;12.409;50,7%;10,3%;parda;baixo
Xique-Xique (BA);2022;44.757;22.872;51,1%;21.885;48,9%;-1,7%;parda;baixo
Abaiara (CE);2022;10.038;5.107;50,88%;4.931;49,12%;-4,4%;parda;baixo
Acarape (CE);2022;14.027;7.145;50,94%;6.882;49,06%;-8,5%;parda;baixo
Acaraú (CE);2022;65.264;32.560;49,89%;32.704;50,11%;13,4%;parda;médio
Acopiara (CE);2022;44.962;22.716;50,52%;22.246;49,48%;-12,1%;parda;baixo
Aiuaba (CE);2022;14.076;7.061;50,16%;7.015;49,84%;-13,1%;parda;baixo
Alcântaras (CE);2022;11.369;5.764;50,7%;5.605;49,3%;5,6%;parda;baixo
Altaneira (CE);2022;6.782;3.507;51,71%;3.275;48,29%;-1,1%;parda;baixo
Alto Santo (CE);2022;14.155;7.196;50,84%;6.959;49,16%;-13,5%;parda;baixo
Amontada (CE);2022;42.156;20.455;48,52%;21.701;51,48%;7,5%;parda;baixo
Antonina do Norte (CE);2022;7.245;3.696;51,01%;3.549;48,99%;3,7%;parda;baixo
Apuiarés (CE);2022;12.928;6.430;49,74%;6.498;50,26%;-7,2%;parda;baixo
Aquiraz (CE);2022;80.645;40.281;49,95%;40.364;50,05%;11%;parda;médio
Aracati (CE);2022;75.113;38.375;51,09%;36.738;48,91%;8,6%;parda;médio
Aracoiaba (CE);2022;25.553;12.823;50,18%;12.730;49,82%;0,6%;parda;baixo
Ararendá (CE);2022;11.096;5.518;49,73%;5.578;50,27%;5,8%;parda;baixo
Araripe (CE);2022;19.783;10.033;50,72%;9.750;49,28%;-4,4%;parda;baixo
Aratuba (CE);2022;11.224;5.602;49,91%;5.622;50,09%;-2,6%;parda;baixo
Arneiroz (CE);2022;7.429;3.709;49,93%;3.720;50,07%;-2,9%;parda;baixo
Assaré (CE);2022;21.697;10.956;50,5%;10.741;49,5%;-3,3%;parda;baixo
Aurora (CE);2022;23.714;11.924;50,28%;11.790;49,72%;-3,5%;parda;baixo
Baixio (CE);2022;5.704;2.820;49,44%;2.884;50,56%;-5,3%;parda;baixo
Banabuiú (CE);2022;17.195;8.548;49,71%;8.647;50,29%;-0,7%;parda;baixo
Barbalha (CE);2022;75.033;38.806;51,72%;36.227;48,28%;35,6%;parda;médio
Barreira (CE);2022;22.392;11.322;50,56%;11.070;49,44%;14,4%;parda;baixo
Barro (CE);2022;19.381;9.865;50,9%;9.516;49,1%;-9,9%;parda;baixo
Barroquinha (CE);2022;14.567;7.213;49,52%;7.354;50,48%;0,6%;parda;baixo
Baturité (CE);2022;35.218;17.901;50,83%;17.317;49,17%;5,7%;parda;baixo
Beberibe (CE);2022;53.114;26.667;50,21%;26.447;49,79%;7,7%;parda;médio
Bela Cruz (CE);2022;32.775;16.308;49,76%;16.467;50,24%;6,1%;parda;baixo
Boa Viagem (CE);2022;50.411;25.389;50,36%;25.022;49,64%;-4%;parda;médio
Brejo Santo (CE);2022;51.090;26.296;51,47%;24.794;48,53%;13%;parda;médio
Camocim (CE);2022;62.326;32.025;51,38%;30.301;48,62%;3,6%;parda;médio
Campos Sales (CE);2022;25.135;13.062;51,97%;12.073;48,03%;-5,2%;parda;baixo
Canindé (CE);2022;74.174;37.604;50,7%;36.570;49,3%;-0,4%;parda;médio
Capistrano (CE);2022;17.254;8.610;49,9%;8.644;50,1%;1,1%;parda;baixo
Caridade (CE);2022;16.377;8.194;50,03%;8.183;49,97%;-18,2%;parda;baixo
Cariré (CE);2022;17.632;8.815;49,99%;8.817;50,01%;-3,9%;parda;baixo
Caririaçu (CE);2022;26.320;13.436;51,05%;12.884;48,95%;-0,3%;parda;baixo
Cariús (CE);2022;17.015;8.423;49,5%;8.592;50,5%;-8,4%;parda;baixo
Carnaubal (CE);2022;17.210;8.677;50,42%;8.533;49,58%;2,8%;parda;baixo
Cascavel (CE);2022;72.720;37.155;51,09%;35.565;48,91%;9,9%;parda;médio
Catarina (CE);2022;10.243;5.189;50,66%;5.054;49,34%;-45,4%;parda;baixo
Catunda (CE);2022;10.444;5.216;49,94%;5.228;50,06%;4,9%;parda;baixo
Caucaia (CE);2022;355.679;184.104;51,76%;171.575;48,24%;9,3%;parda;grande
Cedro (CE);2022;22.344;11.339;50,75%;11.005;49,25%;-8,9%;parda;baixo
Chaval (CE);2022;12.462;6.226;49,96%;6.236;50,04%;-1,2%;parda;baixo
Choró (CE);2022;12.113;5.952;49,14%;6.161;50,86%;-5,8%;parda;baixo
Chorozinho (CE);2022;20.163;10.060;49,89%;10.103;50,11%;6,6%;parda;baixo
Coreaú (CE);2022;20.953;10.574;50,47%;10.379;49,53%;-4,6%;parda;baixo
Crateús (CE);2022;76.390;39.220;51,34%;37.170;48,66%;4,9%;parda;médio
Crato (CE);2022;131.050;69.276;52,86%;61.774;47,14%;7,9%;parda;grande
Croatá (CE);2022;17.481;8.753;50,07%;8.728;49,93%;2,4%;parda;baixo
Cruz (CE);2022;29.761;15.078;50,66%;14.683;49,34%;32,4%;parda;baixo
Deputado Irapuan Pinheiro (CE);2022;8.932;4.464;49,98%;4.468;50,02%;-1,8%;parda;baixo
Ererê (CE);2022;6.474;3.256;50,29%;3.218;49,71%;-5,4%;parda;baixo
Eusébio (CE);2022;74.170;38.052;51,3%;36.118;48,7%;61,1%;parda;médio
Farias Brito (CE);2022;18.217;9.150;50,23%;9.067;49,77%;-4,2%;parda;baixo
Forquilha (CE);2022;24.173;12.207;50,5%;11.966;49,5%;11%;parda;baixo
Fortaleza (CE);2022;2.428.708;1.301.779;53,6%;1.126.929;46,4%;-1%;parda;grande
